"country","year","democ","autoc","polity","polity2","durable","exrec","exconst","polcomp","countrycode","rgdpe","rgdpna","pop","cpt.succ.n","cpt.fail.n","scoup1","atcoup2","pcoup3","apcoup4","agcoup","foroutex","reboutex","assassex","resignex","gdppc","trade","fcf","govfce","inflation","population","sec.enrr","oda","energy.gni","inttot","civtot","uds.mean"
"Bolivia",1992,9,0,9,9,10,8,7,9,"BOL",14709.7080078125,18426.412109375,6.974168,0,0,0,0,0,0,0,0,0,0,0,3812.31747317985,49.1108569698764,16.3155720044775,12.8705016251926,12.060323601829,7131699,NA,12.2285768425672,3.07396907761577,0,0,0.743316649217418
"Bolivia",1993,9,0,9,9,11,8,7,9,"BOL",15719.6494140625,19212.578125,7.138204,0,0,0,0,0,0,0,0,0,0,0,3897.40658622031,47.4671274983013,16.6643818878874,13.3704368323947,8.52787695688002,7273824,NA,10.1081291666518,3.21866773212442,0,0,0.743926735127966
"Bolivia",1994,9,0,9,9,12,8,7,9,"BOL",17290.962890625,20110.2578125,7.30423,0,0,0,0,0,0,0,0,0,0,0,3999.55777489763,48.8608514107981,14.8514770876696,13.5679063459267,7.87404421467433,7418864,NA,9.68823418936268,3.32475282990255,0,0,0.744203908004387
"Bolivia",1995,9,0,9,9,13,8,7,9,"BOL",19175.431640625,21050.3125,7.470925,0,0,0,0,0,0,0,0,0,0,0,4104.86156890634,49.7379857027158,15.5335277199465,13.5726201085383,10.1932067630746,7566716,NA,10.9557111750402,3.14419564037608,0,0,0.69835736639929
"Bolivia",1996,9,0,9,9,14,8,7,9,"BOL",21107.943359375,21968.849609375,7.637622,0,0,0,0,0,0,0,0,0,0,0,4200.22015611461,49.8562911066617,16.1763675908506,13.3272665510055,12.4254866180049,7717445,NA,11.4411697220787,4.1698668676877,0,0,0.7435347942028
"Bolivia",1997,9,0,9,9,15,8,7,9,"BOL",21605.08984375,23057.232421875,7.804333,0,0,0,0,0,0,0,0,0,0,0,4322.38322550047,50.4696634073311,18.9689521141001,13.9035290335436,4.70844436028194,7870860,NA,9.02706449521586,3.01183646994358,0,0,0.847462364379613
"Bolivia",1998,9,0,9,9,16,8,7,9,"BOL",22203.005859375,24216.86328125,7.971237,0,0,0,0,0,0,0,0,0,0,0,4451.87633532615,52.2811617688536,23.1532154126645,14.2188707156496,7.67322895675082,8026257,70.51489,7.59479547685603,1.97059239101136,0,0,0.849081387441929
"Bolivia",1999,9,0,9,9,17,8,7,9,"BOL",22581.5546875,24320.240234375,8.138802,0,0,0,0,0,0,0,0,0,0,0,4385.39773084227,44.1682546423174,19.0973224098467,14.7978924821168,2.15951626835596,8182710,75.5420989990234,7.15232450610332,2.0521580053796,0,0,0.83887121865585
"Bolivia",2000,9,0,9,9,18,8,7,9,"BOL",23135.0390625,24930.146484375,8.307248,0,0,0,0,0,0,0,0,0,0,0,4410.85182705834,45.5977751096643,17.8874788045068,14.5392995429176,4.60822998872597,8339512,77.9787826538086,5.89435884349194,4.61645146975733,0,0,0.692695065289676
"Bolivia",2001,9,0,9,9,19,8,7,9,"BOL",23912.0703125,25349.919921875,8.476709,0,0,0,0,0,0,0,0,0,0,0,4402.31429219824,45.2278213515973,13.926773488475,15.7241301024253,1.58965377879569,8496378,80.3602066040039,9.37815867706797,4.65982756432985,0,0,0.840642508471395
"Bolivia",2002,9,0,9,9,20,8,7,9,"BOL",24902.54296875,25980.009765625,8.646659,0,0,0,0,0,0,0,0,0,0,0,4429.89727044264,49.350260466538,15.6496462945268,15.9678900985173,0.928258851611076,8653343,84.3447418212891,8.95149341307292,4.04083073852139,0,0,0.779104340541153
"Bolivia",2003,8,0,8,8,21,8,7,7,"BOL",26593.12890625,26684.416015625,8.815911,0,0,0,0,0,0,0,0,0,0,0,4468.88682218539,51.9678351389575,12.6639233958774,16.5211421234038,3.33727499671532,8810420,86.5947799682617,12.0608514931214,7.22335110220702,0,0,0.553770685016997
